track_id,track_name,artists,album_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,mood,energy_valence,energy_minus_valence,dance_energy,acoustic_energy,mood_score
spotify:track:3ii7r7exn5vhQYMbQI8788,Mi Gente,"J Balvin, Willy William",Vibras,66.0,0.688,0.603,10.0,-6.469,0.0,0.107,0.091,0.012,0.163,0.785,90.675,4.0,latin,happy,0.473355,-0.18200000000000005,0.41486399999999996,0.036127,0.7013
spotify:track:Mz2tayEqBsCELPEy4ZbZTY,Silver Soul,Alex Page,Soul Sessions,77.0,0.777,0.705,7.0,-2.432,1.0,0.04,0.28,0.03,0.067,0.715,98.629,4.0,pop,happy,0.5040749999999999,-0.010000000000000009,0.547785,0.08260000000000002,0.7305999999999999
spotify:track:e94RNjDxdhfYqK8rcqANkU,Fading Echo,Morgan Blake,Echo Diaries,74.0,0.621,0.665,4.0,-5.007,1.0,0.049,0.251,0.019,0.221,0.676,113.296,4.0,pop,happy,0.44954000000000005,-0.01100000000000001,0.412965,0.084085,0.6562
spotify:track:vkdiivHywnPhaCG6p9ry9R,Animals,Martin Garrix,Gold Skies EP,66.0,0.672,0.944,2.0,-4.01,0.0,0.082,0.033,0.116,0.093,0.789,127.822,4.0,electronic,happy,0.744816,0.15499999999999992,0.634368,0.0018480000000000018,0.8004
spotify:track:JzRmCXCaBlAQPVVWfgZiOJ,Faded,Alan Walker,Different World,62.0,0.686,0.718,11.0,-4.803,0.0,0.088,0.063,0.1365,0.056,0.495,135.856,4.0,electronic,angry,0.35541,0.22299999999999998,0.49254800000000004,0.017766,0.6192
spotify:track:56wWf8HeSFueXLEhxnIFsY,Tennessee Whiskey,Chris Stapleton,Traveller,54.0,0.444,0.501,4.0,-6.657,1.0,0.066,0.139,0.005,0.233,0.423,121.19,4.0,country,relaxed,0.211923,0.07800000000000001,0.222444,0.069361,0.4527
spotify:track:qWxQFaa9LSGUSbsKbbt4ma,Anti-Hero,Taylor Swift,Midnights,80.0,0.742,0.777,9.0,-5.563,1.0,0.076,0.267,0.008,0.056,0.426,128.559,3.0,pop,angry,0.331002,0.35100000000000003,0.576534,0.059541,0.6261
spotify:track:gcpaOETRg00vlVRoP8u26S,Danza Kuduro,"Don Omar, Lucenzo",Meet the Orphans,75.0,0.71,0.784,9.0,-5.473,0.0,0.053,0.179,0.048,0.099,0.814,121.668,4.0,latin,happy,0.638176,-0.029999999999999916,0.55664,0.03866399999999999,0.7737999999999999
spotify:track:4nBve8lWdbPq8yXtBQkJcq,Neon Sky,Alex Chase,Our Sky EP,88.0,0.741,0.834,9.0,-4.166,0.0,0.037,0.084,0.031,0.203,0.422,109.583,4.0,pop,angry,0.351948,0.412,0.6179939999999999,0.013944000000000003,0.6413
spotify:track:SCyaRDcqzYh54tef4Ezn23,Elephant,Tame Impala,Lonerism,57.0,0.544,0.656,7.0,-7.845,1.0,0.088,0.186,0.055,0.163,0.346,100.636,4.0,indie,energetic,0.22697599999999998,0.31000000000000005,0.356864,0.063984,0.4984
spotify:track:ocHeCRXzFRle1XCMLaDShV,Golden Shadow,Drew Lane,Our Shadow Collection,71.0,0.708,0.559,8.0,-2.94,1.0,0.199,0.14,0.03,0.211,0.627,93.646,4.0,hiphop,happy,0.35049300000000005,-0.06799999999999995,0.395772,0.061739999999999996,0.6309
spotify:track:NZuR5J2YAzvoqGjZZLBNlf,Silver Voice,Drew Banks,Your Voice Sessions,63.0,0.738,0.632,8.0,-8.363,0.0,0.199,0.114,0.035,0.181,0.556,89.157,4.0,hiphop,happy,0.35139200000000004,0.07599999999999996,0.466416,0.041952,0.6334
spotify:track:4bJ1bu0RweObsOU3EJXJNZ,Montero,Lil Nas X,Montero,74.0,0.649,0.663,9.0,-5.663,1.0,0.099,0.332,0.001,0.226,0.428,136.645,4.0,pop,energetic,0.283764,0.23500000000000004,0.43028700000000003,0.111884,0.5648
spotify:track:38ur8xQW36TW7I19PhH8wf,Where Is My Mind,Pixies,Surfer Rosa,59.0,0.672,0.71,7.0,-3.679,1.0,0.073,0.133,0.083,0.346,0.663,136.245,4.0,rock,happy,0.47073,0.04699999999999993,0.47712,0.03857000000000001,0.6798000000000001
spotify:track:I3ebSrLLVtRz4iEJSQWAnX,Midnight Shadow,Alex Woods,Our Shadow Collection,77.0,0.622,0.752,5.0,-5.675,1.0,0.077,0.184,0.028,0.3658749999999999,0.696,121.948,4.0,pop,happy,0.523392,0.05600000000000005,0.467744,0.045632,0.6906
spotify:track:JhVihcTLrjOwCuryXpy8eC,Butter,BTS,Butter,74.0,0.701,0.707,10.0,-5.358,0.0,0.077,0.171,0.036,0.132,0.791,138.71,3.0,pop,happy,0.559237,-0.08400000000000007,0.49560699999999996,0.05010300000000001,0.7387999999999999
spotify:track:dv8ytO3K3uaDlH0Evl05Tr,Dark Sky,Skylar Woods,Sky Chronicles,74.0,0.703,0.712,0.0,-3.805,1.0,0.199,0.084,0.032,0.067,0.605,81.765,4.0,hiphop,happy,0.43076,0.10699999999999998,0.500536,0.024192000000000005,0.6665
spotify:track:1wtfsYdR40VKP47QazNhWE,Smoky Room,Harlem Sessions Trio,Late Night,45.0,0.511,0.3321249999999998,3.0,-11.888625,0.0,0.078,0.494125,0.1365,0.291,0.617,119.198,4.0,jazz,chill,0.20492112499999987,-0.2848750000000002,0.1697158749999999,0.3300137343750001,0.49973749999999995
spotify:track:5LDQCHYzHigAmQ1L6e5fXv,Midnight City,M83,"Hurry Up, We're Dreaming",62.0,0.769,0.669,9.0,-6.607,1.0,0.079,0.05,0.1365,0.076,0.471,122.181,4.0,electronic,energetic,0.315099,0.19800000000000006,0.5144610000000001,0.01655,0.6198
spotify:track:8csaXOcJL2vBom63OEkbp2,Better Days,Nova Lane,Horizon,81.0,0.623,0.515,11.0,-3.474,1.0,0.1,0.066,0.05,0.097,0.598,121.988,4.0,pop,relaxed,0.30797,-0.08299999999999996,0.320845,0.032010000000000004,0.5806
spotify:track:1mXfVl2Lqem4YnM6lTOL5d,Drunk in Love,"Beyoncé, Jay-Z",Beyoncé,66.0,0.788,0.461,2.0,-7.071,0.0,0.164,0.0,0.008,0.212,0.461,81.912,4.0,rnb,relaxed,0.21252100000000002,0.0,0.36326800000000004,0.0,0.5590999999999999
spotify:track:3Zde6VrBRLVON4Vl0oISs7,Open Star,Skylar Banks,Our Star EP,85.0,0.79,0.796,1.0,-3.504,1.0,0.09,0.0,0.01,0.171,0.68,109.123,5.0,pop,happy,0.5412800000000001,0.11599999999999999,0.6288400000000001,0.0,0.7478
spotify:track:7RwUrnvJi1otuwKeFVhx7T,Karma Police,Radiohead,OK Computer,64.0,0.407,0.6835,7.0,-4.269,1.0,0.068,0.154,0.03,0.307,0.341,124.364,4.0,rock,energetic,0.23307350000000002,0.34249999999999997,0.2781845,0.048741,0.46355
spotify:track:xilzyVEZt53dIsGeNVdw2O,Fire Heart,Alex Cross,Heart Collection,87.0,0.882,0.775,6.0,-8.635,0.0,0.199,0.107,0.017,0.135,0.632,91.575,4.0,hiphop,happy,0.4898,0.14300000000000002,0.68355,0.024074999999999996,0.7499
spotify:track:mBiJncZ3nKNi9OlUp4o3go,Dog Days Are Over,Florence + The Machine,Lungs,52.0,0.535,0.356,11.0,-11.888625,1.0,0.051,0.139,0.066,0.296,0.668,105.659,4.0,indie,happy,0.237808,-0.31200000000000006,0.19046,0.08951600000000001,0.5345000000000001
spotify:track:54lOTkbSoCO4PQgC7bYa7x,Crystal Soul,Casey Voss,The Soul Collection,101.0,0.604,0.856,8.0,-3.387,1.0,0.07,0.104,0.087,0.21,0.645,147.28,4.0,rock,happy,0.55212,0.21099999999999997,0.5170239999999999,0.014976000000000001,0.696
spotify:track:9fJcHeO6BtzeBLlUSmvoge,Wild Dream,Morgan Page,Your Dream EP,85.0,0.701,0.69,7.0,-7.894,1.0,0.199,0.347,0.044,0.074,0.764,122.026,4.0,pop,happy,0.52716,-0.07400000000000007,0.48368999999999995,0.10757000000000001,0.7229000000000001
spotify:track:t3C0KAgIdCkNtSmzZKgJyp,Black,Pearl Jam,Ten,84.0,0.428,0.924,0.0,-6.776,0.0,0.054,0.081,0.126,0.237,0.654,101.799,4.0,rock,happy,0.604296,0.27,0.395472,0.0061559999999999965,0.6671999999999999
spotify:track:acZxTXLOoWF0fnw5GECMMU,Crystal River,Skylar Chase,A River,91.0,0.731,0.548,6.0,-4.741,1.0,0.054,0.274,0.014,0.119,0.785,130.809,4.0,pop,happy,0.43018000000000006,-0.237,0.400588,0.123848,0.6977
spotify:track:aANRrxjxhWMHpe7TYYHVcK,Rising River,Morgan Woods,River Sessions,92.0,0.2570000000000001,0.61,6.0,-5.76,0.0,0.043,0.148,0.03,0.165,0.5605,100.847,4.0,pop,happy,0.341905,0.04949999999999999,0.15677000000000008,0.05772,0.48430000000000006
spotify:track:kf0J7ELkpOH3PkmZkg5MsO,Bad Guy,Billie Eilish,When We All Fall Asleep,77.0,0.669,0.735,1.0,-3.489,0.0,0.037,0.171,0.05,0.249,0.535,110.809,4.0,pop,energetic,0.393225,0.19999999999999996,0.491715,0.04531500000000001,0.6352
spotify:track:rqCXZwq7DuM11bNnrWktMs,Electric Wave,Jamie Blake,The Wave Chronicles,76.0,0.2570000000000001,0.757,7.0,-6.325,0.0,0.054,0.073,0.042,0.051,0.454,97.032,3.0,pop,angry,0.34367800000000004,0.303,0.19454900000000008,0.017738999999999998,0.4858
spotify:track:j9mhxrDjN5RqLfCYLRAMwo,Crystal Wave,Jamie Woods,Our Wave Sessions,68.0,0.71,0.556,5.0,-6.985,1.0,0.199,0.139,0.024,0.177,0.446,76.912,4.0,hiphop,chill,0.24797600000000003,0.11000000000000004,0.39476,0.061716,0.5582
spotify:track:6DFR9ot51uE87jsrpttHn8,Holy Wars,Megadeth,Rust in Peace,52.0,0.283,0.936,1.0,-4.478,1.0,0.075,0.036,0.1365,0.268,0.16,177.28012499999997,4.0,metal,angry,0.14976,0.776,0.264888,0.002303999999999998,0.42969999999999997
spotify:track:VqYAwlEpmU96utTJcJ1H8Z,No Cap,Flex Monroe,Flex Season,71.0,0.791,0.551,3.0,-8.12,1.0,0.199,0.146,0.004,0.094,0.503,99.975,4.0,hiphop,chill,0.27715300000000004,0.04800000000000004,0.43584100000000003,0.06555399999999999,0.6038000000000001
spotify:track:G5tKSPKatWvR9qnEJH67Ev,Strobe,deadmau5,For Lack of a Better Name,67.0,0.843,0.731,6.0,-4.975,1.0,0.065,0.067,0.1365,0.127,0.5605,138.652,4.0,electronic,energetic,0.40972549999999996,0.17049999999999998,0.6162329999999999,0.018023,0.6963999999999999
spotify:track:yAO3BqXaH4fnpixdXAFSXx,Friends in Low Places,Garth Brooks,No Fences,61.0,0.492,0.749,0.0,-5.677,1.0,0.075,0.471,0.009,0.187,0.456,118.182,4.0,country,angry,0.341544,0.293,0.368508,0.11822099999999999,0.5547
spotify:track:Abt7GWo8tXRoSCHIc584Hn,Rising Night,Alex Ray,A Night Sessions,64.0,0.339,0.854,-4.722,-3.83,0.0,0.046,0.014,0.084,0.069,0.505,153.186,4.0,rock,motivational,0.43127,0.349,0.28950600000000004,0.0020440000000000002,0.5599
spotify:track:u7Bwksaq9crY6OZwJxWAhF,Let It Happen,Tame Impala,Currents,101.0,0.627,0.417,5.0,-10.726,1.0,0.09,0.439,0.066,0.073,0.583,108.034,4.0,indie,chill,0.24311099999999997,-0.16599999999999998,0.261459,0.25593699999999997,0.5464
spotify:track:gYoPHteXiQQb9R4eH0c3bF,Flowers,Miley Cyrus,Endless Summer Vacation,86.0,0.755,0.796,11.0,-7.61,0.0,0.079,0.314,0.043,0.192,0.544,112.371,4.0,pop,energetic,0.4330240000000001,0.252,0.6009800000000001,0.06405599999999999,0.6829000000000001
spotify:track:ff2Ct6kqGmZns4sojXNix3,B.Y.O.B.,System of a Down,Mezmerize,60.0,0.416,0.6835,6.0,-1.168,1.0,0.111,0.067,0.1365,0.144,0.5605,152.265,5.0,metal,motivational,0.38310175,0.123,0.284336,0.021205500000000002,0.55405
spotify:track:EbUZF5r1SgZuznwUeYaxCr,Home,Edward Sharpe and the Magnetic Zeros,Up from Below,47.0,0.388,0.398,6.0,-11.663,1.0,0.042,0.494125,0.052,0.117,0.651,90.988,4.0,indie,chill,0.259098,-0.253,0.154424,0.29746324999999996,0.49620000000000003
spotify:track:1JJqkXkdPi6qH2uvVSJAss,Shape of You,Ed Sheeran,Divide,88.0,0.842,0.767,2.0,-4.248,0.0,0.106,0.188,0.01,0.125,0.628,100.321,4.0,pop,happy,0.481676,0.139,0.645814,0.043803999999999996,0.7339
spotify:track:k1onLn25rRlXPQlBcTEAiG,Take Five,Dave Brubeck Quartet,Time Out,45.0,0.35,0.592,9.0,-7.268,0.0,0.058,0.494125,0.1365,0.236,0.5605,135.804,4.0,jazz,happy,0.331816,0.03149999999999997,0.20719999999999997,0.201603,0.5068
spotify:track:lvgmCGEB51UF5Wu7TEmT4b,Static Fire,Voltage Kings,Live Wire,74.0,0.419,0.661,6.0,-7.041,0.0,0.083,0.041,0.018,0.323,0.436,148.14,4.0,rock,energetic,0.288196,0.22500000000000003,0.276959,0.013899,0.4984
spotify:track:ssMQp7Lqy9Ci1irxsuRFWy,Broken Sky,Taylor Page,Our Sky,68.0,0.493,0.651,10.0,-6.956,1.0,0.054,0.099,0.052,0.138,0.631,120.807,4.0,rock,happy,0.410781,0.020000000000000018,0.32094300000000003,0.034551,0.5956
spotify:track:ddvk9WbjbBepVVFWKmp4G5,Dead Planets,Stellar Collapse,Event Horizon,67.0,0.636,0.669,9.0,-3.243,1.0,0.077,0.139,0.1365,0.198,0.585,117.541,5.0,rock,motivational,0.391365,0.08400000000000007,0.42548400000000003,0.046009,0.6255
spotify:track:ApKcjk8cIrL2mrAmXqgSur,Fading Soul,Drew Cross,The Soul Collection,74.0,0.814,0.6835,5.0,-3.952,1.0,0.0,0.057,0.018,0.174,0.425,142.266,4.0,pop,energetic,0.2904875,0.2585,0.556369,0.0180405,0.61925
spotify:track:JqEsj6tser69NchpUj26Ih,Last Nite,The Strokes,Is This It,66.0,0.538,0.71,8.0,-3.727,1.0,0.052,0.033,0.1365,0.234,0.303,136.576,4.0,pop,angry,0.21513,0.407,0.38198,0.009570000000000002,0.49560000000000004
