track_id,track_name,artists,album_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,mood
spotify:track:3ii7r7exn5vhQYMbQI8788,Mi Gente,"J Balvin, Willy William",Vibras,66.0,0.688,0.603,10.0,-6.469,0.0,0.107,0.091,0.012,0.163,0.785,90.675,4.0,latin,happy
spotify:track:Mz2tayEqBsCELPEy4ZbZTY,Silver Soul,Alex Page,Soul Sessions,77.0,0.777,0.705,7.0,-2.432,1.0,0.04,0.28,0.03,0.067,0.715,98.629,4.0,pop,happy
spotify:track:e94RNjDxdhfYqK8rcqANkU,Fading Echo,Morgan Blake,Echo Diaries,74.0,0.621,0.665,4.0,-5.007,1.0,0.049,0.251,0.019,0.221,0.676,113.296,4.0,pop,happy
spotify:track:vkdiivHywnPhaCG6p9ry9R,Animals,Martin Garrix,Gold Skies EP,66.0,0.672,0.944,2.0,-4.01,0.0,0.082,0.033,0.116,0.093,0.789,127.822,4.0,electronic,motivational
spotify:track:JzRmCXCaBlAQPVVWfgZiOJ,Faded,Alan Walker,Different World,62.0,0.686,0.718,11.0,-4.803,0.0,0.088,0.063,0.1365,0.056,0.495,135.856,4.0,electronic,angry
spotify:track:56wWf8HeSFueXLEhxnIFsY,Tennessee Whiskey,Chris Stapleton,Traveller,54.0,0.444,0.501,4.0,-6.657,1.0,0.066,0.139,0.005,0.233,0.423,121.19,4.0,country,sad
spotify:track:qWxQFaa9LSGUSbsKbbt4ma,Anti-Hero,Taylor Swift,Midnights,80.0,0.742,0.777,9.0,-5.563,1.0,0.076,0.267,0.008,0.056,0.426,128.559,3.0,pop,motivational
spotify:track:gcpaOETRg00vlVRoP8u26S,Danza Kuduro,"Don Omar, Lucenzo",Meet the Orphans,75.0,0.71,0.784,9.0,-5.473,0.0,0.053,0.179,0.048,0.099,0.814,121.668,4.0,latin,happy
spotify:track:4nBve8lWdbPq8yXtBQkJcq,Neon Sky,Alex Chase,Our Sky EP,88.0,0.741,0.834,9.0,-4.166,0.0,0.037,0.084,0.031,0.203,0.422,109.583,4.0,pop,motivational
spotify:track:SCyaRDcqzYh54tef4Ezn23,Elephant,Tame Impala,Lonerism,57.0,0.544,0.656,7.0,-7.845,1.0,0.088,0.186,0.055,0.163,0.346,100.636,4.0,indie,motivational
spotify:track:ocHeCRXzFRle1XCMLaDShV,Golden Shadow,Drew Lane,Our Shadow Collection,71.0,0.708,0.559,8.0,-2.94,1.0,0.199,0.14,0.03,0.211,0.627,93.646,4.0,hiphop,energetic
spotify:track:NZuR5J2YAzvoqGjZZLBNlf,Silver Voice,Drew Banks,Your Voice Sessions,63.0,0.738,0.632,8.0,-8.363,0.0,0.199,0.114,0.035,0.181,0.556,89.157,4.0,hiphop,energetic
spotify:track:4bJ1bu0RweObsOU3EJXJNZ,Montero,Lil Nas X,Montero,74.0,0.649,0.663,9.0,-5.663,1.0,0.099,0.332,0.001,0.226,0.428,136.645,4.0,pop,happy
spotify:track:38ur8xQW36TW7I19PhH8wf,Where Is My Mind,Pixies,Surfer Rosa,59.0,0.672,0.71,7.0,-3.679,1.0,0.073,0.133,0.083,0.346,0.663,136.245,4.0,rock,motivational
spotify:track:I3ebSrLLVtRz4iEJSQWAnX,Midnight Shadow,Alex Woods,Our Shadow Collection,77.0,0.622,0.752,5.0,-5.675,1.0,0.077,0.184,0.028,0.3658749999999999,0.696,121.948,4.0,pop,happy
spotify:track:JhVihcTLrjOwCuryXpy8eC,Butter,BTS,Butter,74.0,0.701,0.707,10.0,-5.358,0.0,0.077,0.171,0.036,0.132,0.791,138.71,3.0,pop,happy
spotify:track:dv8ytO3K3uaDlH0Evl05Tr,Dark Sky,Skylar Woods,Sky Chronicles,74.0,0.703,0.712,0.0,-3.805,1.0,0.199,0.084,0.032,0.067,0.605,81.765,4.0,hiphop,energetic
spotify:track:1wtfsYdR40VKP47QazNhWE,Smoky Room,Harlem Sessions Trio,Late Night,45.0,0.511,0.33212499999999984,3.0,-11.888625,0.0,0.078,0.494125,0.1365,0.291,0.617,119.198,4.0,jazz,chill
spotify:track:5LDQCHYzHigAmQ1L6e5fXv,Midnight City,M83,"Hurry Up, We're Dreaming",62.0,0.769,0.669,9.0,-6.607,1.0,0.079,0.05,0.1365,0.076,0.471,122.181,4.0,electronic,energetic
spotify:track:8csaXOcJL2vBom63OEkbp2,Better Days,Nova Lane,Horizon,81.0,0.623,0.515,11.0,-3.474,1.0,0.1,0.066,0.05,0.097,0.598,121.988,4.0,pop,happy
spotify:track:1mXfVl2Lqem4YnM6lTOL5d,Drunk in Love,"Beyoncé, Jay-Z",Beyoncé,66.0,0.788,0.461,2.0,-7.071,0.0,0.164,-0.182875,0.008,0.212,0.461,81.912,4.0,rnb,energetic
spotify:track:3Zde6VrBRLVON4Vl0oISs7,Open Star,Skylar Banks,Our Star EP,85.0,0.79,0.796,1.0,-3.504,1.0,0.09,-0.074,0.01,0.171,0.68,109.123,5.0,pop,happy
spotify:track:7RwUrnvJi1otuwKeFVhx7T,Karma Police,Radiohead,OK Computer,64.0,0.407,0.6835,7.0,-4.269,1.0,0.068,0.154,0.03,0.307,0.341,124.364,4.0,rock,energetic
spotify:track:xilzyVEZt53dIsGeNVdw2O,Fire Heart,Alex Cross,Heart Collection,87.0,0.882,0.775,6.0,-8.635,0.0,0.199,0.107,0.017,0.135,0.632,91.575,4.0,hiphop,energetic
spotify:track:mBiJncZ3nKNi9OlUp4o3go,Dog Days Are Over,Florence + The Machine,Lungs,52.0,0.535,0.356,11.0,-11.888625,1.0,0.051,0.139,0.066,0.296,0.668,105.659,4.0,indie,happy
spotify:track:54lOTkbSoCO4PQgC7bYa7x,Crystal Soul,Casey Voss,The Soul Collection,101.0,0.604,0.856,8.0,-3.387,1.0,0.07,0.104,0.087,0.21,0.645,147.28,4.0,rock,motivational
spotify:track:9fJcHeO6BtzeBLlUSmvoge,Wild Dream,Morgan Page,Your Dream EP,85.0,0.701,0.69,7.0,-7.894,1.0,0.199,0.347,0.044,0.074,0.764,122.026,4.0,pop,motivational
spotify:track:t3C0KAgIdCkNtSmzZKgJyp,Black,Pearl Jam,Ten,84.0,0.428,0.924,0.0,-6.776,0.0,0.054,0.081,0.126,0.237,0.654,101.799,4.0,rock,
spotify:track:acZxTXLOoWF0fnw5GECMMU,Crystal River,Skylar Chase,A River,91.0,0.731,0.548,6.0,-4.741,1.0,0.054,0.274,0.014,0.119,0.785,130.809,4.0,pop,happy
spotify:track:aANRrxjxhWMHpe7TYYHVcK,Rising River,Morgan Woods,River Sessions,92.0,0.2570000000000001,0.61,6.0,-5.76,0.0,0.043,0.148,0.03,0.165,0.5605,100.847,4.0,pop,happy
spotify:track:kf0J7ELkpOH3PkmZkg5MsO,Bad Guy,Billie Eilish,When We All Fall Asleep,77.0,0.669,0.735,1.0,-3.489,0.0,0.037,0.171,0.05,0.249,0.535,110.809,4.0,pop,happy
spotify:track:rqCXZwq7DuM11bNnrWktMs,Electric Wave,Jamie Blake,The Wave Chronicles,76.0,0.2570000000000001,0.757,7.0,-6.325,0.0,0.054,0.073,0.042,0.051,0.454,97.032,3.0,pop,
spotify:track:j9mhxrDjN5RqLfCYLRAMwo,Crystal Wave,Jamie Woods,Our Wave Sessions,68.0,0.71,0.556,5.0,-6.985,1.0,0.199,0.139,0.024,0.177,0.446,76.912,4.0,hiphop,energetic
spotify:track:6DFR9ot51uE87jsrpttHn8,Holy Wars,Megadeth,Rust in Peace,52.0,0.283,0.936,1.0,-4.478,1.0,0.075,0.036,0.1365,0.268,0.16,177.28012499999997,4.0,metal,angry
spotify:track:VqYAwlEpmU96utTJcJ1H8Z,No Cap,Flex Monroe,Flex Season,71.0,0.791,0.551,3.0,-8.12,1.0,0.199,0.146,0.004,0.094,0.503,99.975,4.0,hiphop,motivational
spotify:track:G5tKSPKatWvR9qnEJH67Ev,Strobe,deadmau5,For Lack of a Better Name,67.0,0.843,0.731,6.0,-4.975,1.0,0.065,0.067,0.1365,0.127,0.5605,138.652,4.0,electronic,energetic
spotify:track:yAO3BqXaH4fnpixdXAFSXx,Friends in Low Places,Garth Brooks,No Fences,61.0,0.492,0.749,0.0,-5.677,1.0,0.075,0.471,0.009,0.187,0.456,118.182,4.0,country,motivational
spotify:track:Abt7GWo8tXRoSCHIc584Hn,Rising Night,Alex Ray,A Night Sessions,64.0,0.339,0.854,-4.722,-3.83,0.0,0.046,0.014,0.084,0.069,0.505,153.186,4.0,rock,angry
spotify:track:u7Bwksaq9crY6OZwJxWAhF,Let It Happen,Tame Impala,Currents,101.0,0.627,0.417,5.0,-10.726,1.0,0.09,0.439,0.066,0.073,0.583,108.034,4.0,indie,happy
spotify:track:gYoPHteXiQQb9R4eH0c3bF,Flowers,Miley Cyrus,Endless Summer Vacation,86.0,0.755,0.796,11.0,-7.61,0.0,0.079,0.314,0.043,0.192,0.544,112.371,4.0,,energetic
spotify:track:ff2Ct6kqGmZns4sojXNix3,B.Y.O.B.,System of a Down,Mezmerize,60.0,0.416,0.6835,6.0,-1.168,1.0,0.111,0.067,0.1365,0.144,0.5605,152.265,5.0,metal,angry
spotify:track:EbUZF5r1SgZuznwUeYaxCr,Home,Edward Sharpe and the Magnetic Zeros,Up from Below,47.0,0.388,0.398,6.0,-11.663,1.0,0.042,0.494125,0.052,0.117,0.651,90.988,4.0,indie,relaxed
spotify:track:1JJqkXkdPi6qH2uvVSJAss,Shape of You,Ed Sheeran,Divide,88.0,0.842,0.767,2.0,-4.248,0.0,0.106,0.188,0.01,0.125,0.628,100.321,4.0,pop,happy
spotify:track:k1onLn25rRlXPQlBcTEAiG,Take Five,Dave Brubeck Quartet,Time Out,45.0,0.35,0.592,9.0,-7.268,0.0,0.058,0.494125,0.1365,0.236,0.5605,135.804,4.0,jazz,relaxed
spotify:track:lvgmCGEB51UF5Wu7TEmT4b,Static Fire,Voltage Kings,Live Wire,74.0,0.419,0.661,6.0,-7.041,0.0,0.083,0.041,0.018,0.323,0.436,148.14,4.0,rock,energetic
spotify:track:ssMQp7Lqy9Ci1irxsuRFWy,Broken Sky,Taylor Page,Our Sky,68.0,0.493,0.651,10.0,-6.956,1.0,0.054,0.099,0.052,0.138,0.631,120.807,4.0,rock,happy
spotify:track:ddvk9WbjbBepVVFWKmp4G5,Dead Planets,Stellar Collapse,Event Horizon,67.0,0.636,0.669,9.0,-3.243,1.0,0.077,0.139,0.1365,0.198,0.585,117.541,5.0,rock,happy
spotify:track:ApKcjk8cIrL2mrAmXqgSur,Fading Soul,Drew Cross,The Soul Collection,74.0,0.814,0.6835,5.0,-3.952,1.0,-0.033,0.057,0.018,0.174,0.425,142.266,4.0,pop,energetic
spotify:track:JqEsj6tser69NchpUj26Ih,Last Nite,The Strokes,Is This It,66.0,0.538,0.71,8.0,-3.727,1.0,0.052,0.033,0.1365,0.234,0.303,136.576,4.0,,energetic
spotify:track:KNkfHssNjyn2k5GJ79vbDK,Thinking Out Loud,Ed Sheeran,X,65.0,0.808,0.6835,5.0,-4.039,1.0,0.089,0.15,0.071,0.133,0.516,88.561,4.0,,happy
spotify:track:vfxbbSKeUUtphVk7xTsmLH,Afraid,The Neighbourhood,#000000 & #FFFFFF,101.0,0.666,0.687,0.0,-8.575,0.0,0.05,0.168,0.085,0.273,0.735,134.683,4.0,indie,
spotify:track:iS2Tb9F1fY69M0NBtVlJ1g,Fix You,Coldplay,X&Y,76.0,0.58,0.727,6.0,-4.815,0.0,0.052,0.029,0.025,0.24,0.404,156.83,4.0,rock,energetic
spotify:track:6tEYLvsWwdNAWmiw7eT2My,Electric Shadow,Drew Woods,The Shadow Diaries,74.0,0.557,0.6835,4.0,-6.305,0.0,0.077,0.09,0.123,0.053,0.388,147.931,4.0,rock,motivational
